20|06|1945 Из Берлина в Москву доставлено Знамя Победы|
20|06|Всемирный день беженцев|
20|06|Именины Калерия, Мария, Федот, Валерия|
21|06|1906 День кинологических подразделений МВД России|
21|06|1547 В Москве вспыхнул грандиозный пожар; за шесть часов выгорели Кремль, большая часть посада, в огне погибли более 2,5 тысяч человек|
21|06|1925 В Москве появились первые такси|
21|06|Именины Василий, Ефрем, Зосима, Константин|
22|06|1941 День памяти и скорби. Начало Великой Отечественной Войны.|
22|06|1941 Началась героическая оборона Брестской крепости|
22|06|Именины Александр, Кирилл, Мария, Марфа|
23|06|Международный Олимпийский день|
23|06|День государственной службы ООН|
23|06|Именины Василий, Иван, Тимофей, Антонина|
24|06|1945 Состоялся Парад Победы воинов-победителей в Великой Отечественной войне|
24|06|1812 Армия Наполеона вторглась в пределы Российской империи|
24|06|1941 Образовано Советское информационное бюро (Совинформбюро)|
24|06|Именины Ефрем|
25|06|День дружбы, единения славян|
25|06|1876 Началось первое в истории одиночное плавание через Атлантический океан|
25|06|Именины Андрей, Анна, Арсений, Иван, Петр, Степан, Анна|
26|06|Международный день борьбы против злоупотребления наркотиками и их незаконного оборота|
26|06|Международный день в поддержку жертв пыток.|
26|06|1945 В СССР было введено звание Генералиссимус Советского Союза|
26|06|Именины Акулина, Антонина, Савва|
27|06|День молодежи России|
27|06|Всемирный день рыболовства|
27|06|1910 III Государственная дума приняла Столыпинское аграрное законодательство|
27|06|Именины Елисей, Георгий, Мефодий, Мстислав|
28|06|1919 Подписан Версальский мирный договор с Германией, завершивший первую мировую войну (1914-1918)|
28|06|Именины Григорий, Ефрем, Иона, Лазарь, Михаил|
29|06|1941 Началась оборона Заполярья (продолжалась до октября 1944 года)|
29|06|Именины Тихон|
30|06|1908 На Землю упал Тунгусский метеорит|
30|06|1971 При возвращении на Землю из-за нарушения герметичности спускаемого аппарата погиб экипаж космического корабля «Союз-11»|
30|06|Именины Савелий, Мануил|
01|07|1862 Основана Московская публичная библиотека, в 1925 году преобразована в Государственную библиотеку СССР имени Ленина|
01|07|Именины Ипат, Леонтий|
02|07|Международный день спортивного журналиста|
02|07|Именины Зосима, Иван|
03|07|День ГАИ (День ГИБДД МВД РФ)|
03|07|1886 Карл Фридрих Бенц представил публике первый в мире автомобиль|
03|07|Именины Афанасий, Глеб, Гурий, Нина, Инна, Римма|
04|07|1942 Завершилась героическая 250-дневная Севастопольская оборона|
04|07|Именины Терентий, Юлий|
05|07|1942 В Париже дом моды Christian Dior представил публике новую модель купальника - бикини|
05|07|1841 Открылось первое в мире туристическое агентство|
05|07|Именины Галактион, Евсей, Зина, Ульяна, Арсений|
06|07|День столицы Казахстана|
06|07|Всемирный день поцелуя|
06|07|Именины Антон, Артем, Герман, Святослав, Аркадий|
07|07|Именины Антон, Иван, Яков|
08|07|Именины Петр, Давид, Ефросинья|
09|07|Именины Денис, Иван, Тихон, Давид|
10|07|1709 День воинской славы России (День победы русской армии под командованием Петра Первого над шведами в Полтавском сражении)|
10|07|1925 Учрежден общесоюзный орган - ТАСС|
10|07|Именины Георгий, Мартын, Самсон|
11|07|Всемирный день народонаселения|
11|07|Именины Герман, Иван, Павел, Сергей|
12|07|1937 Стартовал беспосадочный перелет Москва - Северный полюс - США|
12|07|1941 В Москве подписано соглашение между СССР и Великобританией о совместных действиях в войне против Германии|
12|07|Именины Андрей, Петр, Павел|
13|07|1930 В Монтевидео (Уругвай) состоялось открытие первого чемпионата мира по футболу|
13|07|Именины Иван, Симон, Филипп, Фома, Софрон|
14|07|Под Оршей прогремел первый залп знаменитых «катюш»|
14|07|День взятия Бастилии|
14|07|Именины Ангелина, Кузьма, Петр, Демьян|
15|07|1957 Образован государственный космодром Плесецк|
16|07|1945 На полигоне в Аламогордо (штат Нью-Мехико, США) был произведен наземный взрыв первого в мире атомного устройства|
16|07|Именины Александр, Анатолий, Демид, Марк|
17|07|День памяти Андрея Рублева, великого русского художника-иконописца|
17|07|1955 В Анахайме (штат Калифорния, США) открылся первый увеселительный детский парк «Диснейленд»|
17|07|Именины Андрей, Марфа, Федот, Федор|
18|07|1954 Введено совместное обучение в школах СССР|
18|07|Именины Анна, Афанасий, Кирилл, Сергей|
19|07|1980 в Москве открылись XXII летние Олимпийские игры|
19|07|Именины Антон, Валентин, Василий, Иннокентий|
20|07|Международный день шахмат|
20|07|1941 На кирпичах Брестской крепости была сделана последняя надпись|
20|07|1976 Проведены первые исследования на поверхности Марса|
20|07|Именины Герман, Евдокия, Лукьян, Фома|
21|07|1917 Главой российского правительства стал Александр Керенский|
21|07|Именины Прокопий, Кирилл, Панкрат|
22|07|Именины Александр, Федор|
23|07|1985 На боевое дежурство поставлены межконтинентальные баллистические ракеты «Тополь»|
